2017-11-01T08:40:28.008683 tid8812 [IFO,LogManager] Enabled primary log file C:\Micro-Manager-2.0beta_scanner\CoreLogs\CoreLog20171101T084027_pid5076.txt
2017-11-01T08:40:28.009684 tid8812 [IFO,App] User: wlee3
2017-11-01T08:40:28.009684 tid8812 [IFO,App] Host: NEUR-G7W9DH2-DT
2017-11-01T08:40:28.009684 tid8812 [IFO,App] MM Studio version: 2.0.0-beta3 20170704
2017-11-01T08:40:28.009684 tid8812 [IFO,App] MMCore version 8.5.0
2017-11-01T08:40:28.009684 tid8812 [IFO,App] Device API version 67, Module API version 10
2017-11-01T08:40:28.009684 tid8812 [IFO,App] Operating System: Windows NT (unknown) (amd64) 6.2
2017-11-01T08:40:28.009684 tid8812 [IFO,App] JVM: Java HotSpot(TM) 64-Bit Server VM, version 1.6.0_31, 64-bit
2017-11-01T08:40:28.012686 tid8812 [IFO,App] EDTHangLogger: Started monitoring of EDT hangs
                                   [       ] [heartbeat timeout = 4500 ms, hang check interval = 1000 ms]
2017-11-01T08:40:28.110757 tid8492 [IFO,App] Searching for plugins in C:\Micro-Manager-2.0beta_scanner/mmplugins
2017-11-01T08:40:28.476019 tid8492 [IFO,App] Found plugin org.micromanager.acquiremultipleregions.AcquireMultipleRegions@32f9f91d
2017-11-01T08:40:28.480021 tid8492 [IFO,App] Found plugin org.micromanager.asidispim.ASIdiSPIM@13ca5df9
2017-11-01T08:40:28.481022 tid8492 [IFO,App] Found plugin ch.epfl.leb.autolase.AutoLasePlugin@1faac07d
2017-11-01T08:40:28.481022 tid8492 [IFO,App] Found plugin org.micromanager.CRISP.CRISP@3435ec9
2017-11-01T08:40:28.483024 tid8492 [IFO,App] Found plugin com.asiimaging.CRISPv2.ASI_CRISP_V2@2f7fc44f
2017-11-01T08:40:28.483024 tid8492 [IFO,App] Found plugin org.micromanager.duplicator.DuplicatorPlugin@3a0b2c64
2017-11-01T08:40:28.484025 tid8492 [IFO,App] Found plugin org.micromanager.plugins.framecombiner.FrameCombinerPlugin@247881db
2017-11-01T08:40:28.484025 tid8492 [IFO,App] Found plugin GaussianTrack_@63956391
2017-11-01T08:40:28.485025 tid8492 [IFO,App] Found plugin org.micromanager.hcs.HCSPlugin@3fcac3fa
2017-11-01T08:40:28.485025 tid8492 [IFO,App] Found plugin org.micromanager.imageflipper.FlipperPlugin@4977fa9a
2017-11-01T08:40:28.485025 tid8492 [IFO,App] Found plugin org.micromanager.intelligentacquisition.IntelligentAcquisition@7f1fc4b8
2017-11-01T08:40:28.486026 tid8492 [IFO,App] Found plugin com.imaging100x.tracker.TrackerPlugin@7eac4d3b
2017-11-01T08:40:28.486026 tid8492 [IFO,App] Found plugin org.micromanager.multicamera.MultiCamera@19af9e98
2017-11-01T08:40:28.486026 tid8492 [IFO,App] Found plugin org.micromanager.multichannelshading.MultiChannelShading@eb3ae5c
2017-11-01T08:40:28.487026 tid8492 [IFO,App] Found plugin org.micromanager.patternoverlay.PatternOverlayPlugin@5e54777e
2017-11-01T08:40:28.488027 tid8492 [IFO,App] Found plugin edu.umassmed.pgfocus.pgFocus@283aa791
2017-11-01T08:40:28.488027 tid8492 [IFO,App] Found plugin org.micromanager.pipelinesaver.SaverPlugin@51af4309
2017-11-01T08:40:28.489028 tid8492 [IFO,App] Found plugin org.micromanager.pixelcalibrator.PixelCalibratorPlugin@495a2dc4
2017-11-01T08:40:28.489028 tid8492 [IFO,App] Found plugin org.micromanager.projector.ProjectorPlugin@7c187c8
2017-11-01T08:40:28.490028 tid8492 [IFO,App] Found plugin org.micromanager.recall.RecallPlugin@2c1450bd
2017-11-01T08:40:28.490028 tid8492 [IFO,App] Found plugin org.micromanager.plugins.sequencebuffermonitor.SequenceBufferMonitor@3be0e954
2017-11-01T08:40:28.490028 tid8492 [IFO,App] Found plugin org.micromanager.slideexplorer.SlideExplorerPlugin@2af6a882
2017-11-01T08:40:28.490028 tid8492 [IFO,App] Found plugin org.micromanager.acquisition.internal.DefaultMDAPlugin@27b104d7
2017-11-01T08:40:28.491029 tid8492 [IFO,App] Found plugin org.micromanager.display.internal.gearmenu.ExportImagesItem@79b0d33c
2017-11-01T08:40:28.491029 tid8492 [IFO,App] Found plugin org.micromanager.display.internal.gearmenu.LineProfileItem@47fc468e
2017-11-01T08:40:28.491029 tid8492 [IFO,App] Found plugin org.micromanager.display.internal.inspector.OverlaysPlugin@521c5cd7
2017-11-01T08:40:28.492030 tid8492 [IFO,App] Found plugin org.micromanager.display.internal.overlays.ScaleBarPlugin@4413515e
2017-11-01T08:40:28.492030 tid8492 [IFO,App] Found plugin org.micromanager.display.internal.overlays.TimestampPlugin@5043153c
